"Action","Source","Target","Bucket","SizeBytes","LastWriteTime"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-04\CHECKPOINT_POWERFLOW_V6_2026-05-04.md","04_CHECKPOINTS\2026\2026-05\2026-05-04","4865","04/05/2026 16:14:04"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_AGENTIC_CORE_V01_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-04\CHECKPOINT_POWERFLOW_V6_AGENTIC_CORE_V01_2026-05-04.md","04_CHECKPOINTS\2026\2026-05\2026-05-04","4494","04/05/2026 21:50:39"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_APRES_LAB_LIVE_005.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-05\CHECKPOINT_POWERFLOW_V6_APRES_LAB_LIVE_005.md","04_CHECKPOINTS\2026\2026-05\2026-05-05","1538","05/05/2026 15:40:53"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_DB_V2_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-04\CHECKPOINT_POWERFLOW_V6_DB_V2_2026-05-04.md","04_CHECKPOINTS\2026\2026-05\2026-05-04","4910","04/05/2026 18:23:03"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_LAB_DASHBOARD_2026-05-03.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-03\CHECKPOINT_POWERFLOW_V6_LAB_DASHBOARD_2026-05-03.md","04_CHECKPOINTS\2026\2026-05\2026-05-03","4735","03/05/2026 13:02:01"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_V6_LAB004_FRACTAL_AGENT_SERVICE_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-04\CHECKPOINT_POWERFLOW_V6_LAB004_FRACTAL_AGENT_SERVICE_2026-05-04.md","04_CHECKPOINTS\2026\2026-05\2026-05-04","5257","04/05/2026 23:54:50"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_SEQUENCE_NODE_READER_V01.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-05\CHECKPOINT_SEQUENCE_NODE_READER_V01.md","04_CHECKPOINTS\2026\2026-05\2026-05-05","7989","04/05/2026 15:33:04"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\DOCTRINE_ADDENDUM_POWERFLOW_V6_COALITIONS_THERMO.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\DOCTRINE\DOCTRINE_ADDENDUM_POWERFLOW_V6_COALITIONS_THERMO.md","02_DOCS_ACTIVE\DOCTRINE","1118","02/05/2026 19:13:48"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\GRAMMAIRE_LEXIQUE_POWERFLOW_V6_UPDATE_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\GRAMMAIRE_LEXIQUE_POWERFLOW_V6_UPDATE_2026-05-04.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","8974","04/05/2026 16:14:00"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\GRAMMAIRE_LEXIQUE_SEQUENCE_NODES_V01.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\GRAMMAIRE_LEXIQUE_SEQUENCE_NODES_V01.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","10875","04/05/2026 15:31:25"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LAB_004_TEMPORAL_WINDOW_FRACTAL_IMBRICATION_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\06_LABS\SCENES_REELLES\LAB_004_TEMPORAL_WINDOW_FRACTAL_IMBRICATION_2026-05-04.md","06_LABS\SCENES_REELLES","12964","04/05/2026 23:54:45"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LE_MANIFESTE_DES_REJETS_POWERFLOW.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\MANIFESTE\LE_MANIFESTE_DES_REJETS_POWERFLOW.md","02_DOCS_ACTIVE\MANIFESTE","4277","03/05/2026 13:02:02"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LEXIQUE_A_AJOUTER_GRAMMAIRE_POWERFLOW_V6_LAB_LIVE_005.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\LEXIQUE_A_AJOUTER_GRAMMAIRE_POWERFLOW_V6_LAB_LIVE_005.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","2520","05/05/2026 15:40:56"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LEXIQUE_GRAMMAIRE_COMPORTEMENTS_POWERFLOW.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\LEXIQUE_GRAMMAIRE_COMPORTEMENTS_POWERFLOW.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","7418","03/05/2026 13:02:03"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LEXIQUE_GRAMMAIRE_POWERFLOW_V6_CONSOLIDE_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\LEXIQUE_GRAMMAIRE_POWERFLOW_V6_CONSOLIDE_2026-05-04.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","33107","04/05/2026 21:12:18"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\LEXIQUE_POWERFLOW_ZONE_COCKPIT_UPDATE.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\LEXIQUE_POWERFLOW_ZONE_COCKPIT_UPDATE.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","9513","02/05/2026 20:10:37"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\MISSION_DASHBOARD_AGENTIC_CORE_PANEL_V01.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\05_MISSIONS\MISSION_ACTIVE\MISSION_DASHBOARD_AGENTIC_CORE_PANEL_V01.md","05_MISSIONS\MISSION_ACTIVE","1382","05/05/2026 00:12:06"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\MISSION_FLOW_EVENT_EXTRACTOR_V02_EXTENDED.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\05_MISSIONS\MISSION_ACTIVE\MISSION_FLOW_EVENT_EXTRACTOR_V02_EXTENDED.md","05_MISSIONS\MISSION_ACTIVE","1246","05/05/2026 00:24:36"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\NOTES_NEXT_LABS_POWERFLOW_V6_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\06_LABS\SCENES_REELLES\NOTES_NEXT_LABS_POWERFLOW_V6_2026-05-04.md","06_LABS\SCENES_REELLES","6333","04/05/2026 18:22:58"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_FLOW_V02_1_EXTENDED_COCKPIT.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\08_PATCHES\PATCH_DONE\PATCH_FLOW_V02_1_EXTENDED_COCKPIT.md","08_PATCHES\PATCH_DONE","1077","05/05/2026 00:28:01"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_LEXIQUE_AGENTIC_DASHBOARD_TELEGRAM_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\PATCH_LEXIQUE_AGENTIC_DASHBOARD_TELEGRAM_2026-05-04.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","2397","05/05/2026 01:00:21"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_LEXIQUE_DOCTRINE_POWERFLOW_V6_BATTLEFIELD_RADAR_V02.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\DOCTRINE\PATCH_LEXIQUE_DOCTRINE_POWERFLOW_V6_BATTLEFIELD_RADAR_V02.md","02_DOCS_ACTIVE\DOCTRINE","3513","02/05/2026 20:03:50"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_LEXIQUE_DOCTRINE_POWERFLOW_V6_COALITIONS_THERMO.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\DOCTRINE\PATCH_LEXIQUE_DOCTRINE_POWERFLOW_V6_COALITIONS_THERMO.md","02_DOCS_ACTIVE\DOCTRINE","11582","02/05/2026 19:13:48"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_LEXIQUE_LAB004_TEMPORAL_WINDOW_FRACTAL_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\PATCH_LEXIQUE_LAB004_TEMPORAL_WINDOW_FRACTAL_2026-05-04.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","8326","04/05/2026 23:54:48"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\PATCH_LEXIQUE_POWERFLOW_V6_GRAVITY_RESPRING_FRACTAL_DBV2_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\PATCH_LEXIQUE_POWERFLOW_V6_GRAVITY_RESPRING_FRACTAL_DBV2_2026-05-04.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","9622","04/05/2026 21:50:40"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\POWERFLOW_AGENT_SERVICE_REGISTER_V01.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\IA_COLLABORATION\POWERFLOW_AGENT_SERVICE_REGISTER_V01.md","02_DOCS_ACTIVE\IA_COLLABORATION","2722","04/05/2026 23:54:52"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_COMPLET_BATTLEFIELD_RADAR_V02.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-05\RAPPORT_COMPLET_BATTLEFIELD_RADAR_V02.md","03_REPORTS\2026\2026-05\2026-05-05","10390","02/05/2026 20:03:49"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_COMPLET_COALITION_RELATIONS_V03.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-05\RAPPORT_COMPLET_COALITION_RELATIONS_V03.md","03_REPORTS\2026\2026-05\2026-05-05","10256","02/05/2026 19:11:11"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_COMPLET_POWERFLOW_V6_AGENTIC_CORE_GRAVITY_RESPRING_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-04\RAPPORT_COMPLET_POWERFLOW_V6_AGENTIC_CORE_GRAVITY_RESPRING_2026-05-04.md","03_REPORTS\2026\2026-05\2026-05-04","16284","04/05/2026 21:50:24"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_COMPLET_POWERFLOW_V6_LAB_DASHBOARD_THERMODYNAMIQUE_2026-05-03.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-03\RAPPORT_COMPLET_POWERFLOW_V6_LAB_DASHBOARD_THERMODYNAMIQUE_2026-05-03.md","03_REPORTS\2026\2026-05\2026-05-03","8548","03/05/2026 13:01:59"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_COMPLET_POWERFLOW_V6_LAB_LIVE_005_TUNING_NODE.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-05\RAPPORT_COMPLET_POWERFLOW_V6_LAB_LIVE_005_TUNING_NODE.md","03_REPORTS\2026\2026-05\2026-05-05","10635","05/05/2026 15:40:57"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_PERSONALITY_FOUNDATION_TO_RADAR_V01.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-05\RAPPORT_PERSONALITY_FOUNDATION_TO_RADAR_V01.md","03_REPORTS\2026\2026-05\2026-05-05","15500","03/05/2026 01:18:04"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_SESSION_POWERFLOW_AGENTIC_DASHBOARD_TELEGRAM_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-04\RAPPORT_SESSION_POWERFLOW_AGENTIC_DASHBOARD_TELEGRAM_2026-05-04.md","03_REPORTS\2026\2026-05\2026-05-04","9833","05/05/2026 01:00:21"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\RAPPORT_SESSION_POWERFLOW_V6_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\03_REPORTS\2026\2026-05\2026-05-04\RAPPORT_SESSION_POWERFLOW_V6_2026-05-04.md","03_REPORTS\2026\2026-05\2026-05-04","12270","04/05/2026 20:19:42"
